Database entry; RomName; Rom; Vid; Thm; Whl; Art1; Art2; Art3; Art4; Snd; crc; Manufacturer; Year; Genre
Ben 10 - Protector of Earth; Ben 10 - Protector of Earth (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Resident Evil - Deadly Silence; Resident Evil - Deadly Silence (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Bust-A-Move DS; Bust-A-Move DS (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Bee Movie Game; Bee Movie Game (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Contact; Contact (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Castlevania - Portrait of Ruin; Castlevania - Portrait of Ruin (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Tetris DS; Tetris DS (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Custom Robo Arena; Custom Robo Arena (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
World Series of Poker 2008 - The Official Video Game - Battle for the Bracelets; World Series of Poker 2008 - The Official Video Game - Battle for the Bracelets (USA); YES; NO; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Don Bluth Presents - Dragon's Lair; Don Bluth Presents - Dragon's Lair (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Namco Museum DS; Namco Museum DS (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Shin Megami Tensei - Devil Survivor 2; Shin Megami Tensei - Devil Survivor 2 (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Dynasty Warriors DS - Fighter's Battle; Dynasty Warriors DS - Fighter's Battle (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Showtime Championship Boxing; Showtime Championship Boxing (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Elite Beat Agents; Elite Beat Agents (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Final Fantasy - The 4 Heroes of Light; Final Fantasy - The 4 Heroes of Light (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
GoPets - Vacation Island!; GoPets - Vacation Island! (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Golden Nugget Casino DS; Golden Nugget Casino DS (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
SpongeBob SquarePants - The Yellow Avenger; SpongeBob SquarePants - The Yellow Avenger (USA); YES; NO; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Harvest Moon DS - The Tale of Two Towns; Harvest Moon DS - The Tale of Two Towns (USA); YES; NO; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Point Blank DS; Point Blank DS (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Tony Hawk's Proving Ground; Tony Hawk's Proving Ground (USA); YES; NO; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Advance Wars - Dual Strike; Advance Wars - Dual Strike (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
123 Sesame Street - Cookie's Counting Carnival - The Videogame; 123 Sesame Street - Cookie's Counting Carnival - The Videogame (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Air Traffic Chaos; Air Traffic Chaos (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
All Star Cheer Squad; All Star Cheer Squad (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Mario & Luigi - Partners in Time; Mario & Luigi - Partners in Time (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Barbie as the Island Princess; Barbie as the Island Princess (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Micro Machines V4; Micro Machines V4 (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Wipeout 2; Wipeout 2 (USA); YES; NO; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Teenage Mutant Ninja Turtles 3 - Mutant Nightmare; Teenage Mutant Ninja Turtles 3 - Mutant Nightmare (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Blades of Thunder II; Blades of Thunder II (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Dora the Explorer - Dora Saves the Mermaids; Dora the Explorer - Dora Saves the Mermaids (USA); YES; NO; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Diddy Kong Racing DS; Diddy Kong Racing DS (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Shin Megami Tensei - Strange Journey; Shin Megami Tensei - Strange Journey (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Dig Dug - Digging Strike; Dig Dug - Digging Strike (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Electroplankton; Electroplankton (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Drone Tactics; Drone Tactics (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Pac-Man World 3; Pac-Man World 3 (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Shrek - Ogres & Dronkeys; Shrek - Ogres & Dronkeys (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Juiced 2 - Hot Import Nights; Juiced 2 - Hot Import Nights (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Nine Hours, Nine Persons, Nine Doors; Nine Hours, Nine Persons, Nine Doors (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Biker Mice from Mars; Biker Mice from Mars (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Marvel Nemesis - Rise of the Imperfects; Marvel Nemesis - Rise of the Imperfects (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Crash of the Titans; Crash of the Titans (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Call of Duty 4 - Modern Warfare; Call of Duty 4 - Modern Warfare (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Dawn of Heroes; Dawn of Heroes (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
MX vs. ATV Untamed; MX vs. ATV Untamed (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Final Fantasy XII - Revenant Wings; Final Fantasy XII - Revenant Wings (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Dora's Big Birthday Adventure; Dora's Big Birthday Adventure (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Hotel Dusk - Room 215; Hotel Dusk - Room 215 (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
New Super Mario Bros.; New Super Mario Bros. (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Kirby - Canvas Curse; Kirby - Canvas Curse (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Impossible Mission; Impossible Mission (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Knights in the Nightmare; Knights in the Nightmare (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Plants vs. Zombies; Plants vs. Zombies (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Puzzle Quest - Challenge of the Warlords; Puzzle Quest - Challenge of the Warlords (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Kirby Super Star Ultra; Kirby Super Star Ultra (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Big Brain Academy; Big Brain Academy (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Ultimate Card Games; Ultimate Card Games (USA); YES; NO; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Monster Jam; Monster Jam (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Luxor - Pharaoh's Challenge; Luxor - Pharaoh's Challenge (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Dementium - The Ward; Dementium - The Ward (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Call of Duty - Black Ops; Call of Duty - Black Ops (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Heroes of Mana; Heroes of Mana (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Dark Spire, The; Dark Spire, The (USA); YES; NO; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Jackass - The Game DS; Jackass - The Game DS (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Hannah Montana - The Movie; Hannah Montana - The Movie (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Puzzler World 2; Puzzler World 2 (USA); YES; NO; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Ice Age 2 - The Meltdown; Ice Age 2 - The Meltdown (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
7 Wonders II; 7 Wonders II (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
